Player_id,NAME,Player_position,TEAM, SALARY 
468,Stanley Johnson, SF,Los Angeles Lakers," $888,616.00 "
469,Bismack Biyombo, C,Phoenix Suns," $863,368.00 "
470,Lance Stephenson, G,Indiana Pacers," $642,729.00 "
471,Daishen Nix, SG,Houston Rockets," $612,000.00 "
472,Terry Taylor, F,Indiana Pacers," $600,000.00 "
473,Danuel House Jr., SF,Utah Jazz," $565,986.00 "
474,Luke Kornet, C,Boston Celtics," $565,986.00 "
475,Keifer Sykes, G,Indiana Pacers," $558,345.00 "
476,Ryan Arcidiacono, G,New York Knicks," $546,800.00 "
477,DeAndre' Bembry, SG,Milwaukee Bucks," $518,021.00 "
478,Goran Dragic, PG,Brooklyn Nets," $460,463.00 "
479,Jevon Carter, PG,Milwaukee Bucks," $441,277.00 "
480,Trendon Watford, PF,Portland Trail Blazers," $436,482.00 "
481,Nik Stauskas, G,Boston Celtics," $432,536.00 "
482,DeMarcus Cousins, C,Denver Nuggets," $431,684.00 "
483,D.J. Augustin, G,Los Angeles Lakers," $393,312.00 "
484,DeAndre Jordan, C,Philadelphia 76ers," $374,126.00 "
485,Devontae Cacok, PF,San Antonio Spurs," $364,353.00 "
486,Sam Hauser, SF,Boston Celtics," $313,737.00 "
487,Haywood Highsmith, F,Miami Heat," $290,967.00 "
488,Malik Fitts, F,Boston Celtics," $231,062.00 "
489,Joe Wieskamp, SF,San Antonio Spurs," $202,068.00 "
490,Isaiah Thomas, G,Charlotte Hornets," $191,860.00 "
491,Amir Coffey, SG,LA Clippers," $153,488.00 "
492,Jose Alvarado, PG,New Orleans Pelicans," $150,000.00 "
493,Armoni Brooks, G,Toronto Raptors," $136,926.00 "
494,Devin Cannady, G,Orlando Magic," $100,000.00 "
495,Luca Vildoza, G,Milwaukee Bucks," $42,789.00 "
496,Rayjon Tucker, G,Milwaukee Bucks," $28,779.00 "
497,Juwan Morgan, F,Toronto Raptors," $19,816.00 "
498,Moses Brown, C,Cleveland Cavaliers," $19,186.00 "
499,Xavier Sneed, F,Utah Jazz," $8,558.00 "
500,Kessler Edwards, SF,Brooklyn Nets," $5,318.00 "
501,Ish Wainright, F,Phoenix Suns," $5,318.00 "
